group,water_years,month,month_number,slot,cell_id,merra_latitude,merra_longitude,pooled_modis_fsca_fraction,masked_modis_fsca_below_0_1,normalized_mean_bias_pct,mean_annual_nmb_pct,n_water_years,degrees_of_freedom,t_statistic,two_sided_p_value,two_sided_p_lt_0_05
Wet,"2011,2017,2019,2023",December,12,28,MERRA2_i257_j118,38.5,-106.25,0.6084570045922397,False,-23.704943743499964,-24.408668879387015,4,3,-3.939129031942771,0.029153211498398068,True
Wet,"2011,2017,2019,2023",December,12,29,MERRA2_i257_j119,38.5,-105.625,0.18483528568646823,False,-24.321040949082608,-29.085385453101896,4,3,-2.1089085202512217,0.1254972039531499,False
Wet,"2011,2017,2019,2023",December,12,30,MERRA2_i257_j120,38.5,-105.0,0.045611440548147704,True,9.738983848097932,6.427493586983044,4,3,,,False
Wet,"2011,2017,2019,2023",December,12,31,MERRA2_i257_j121,38.5,-104.375,0.005323243884312709,True,303.92171934004443,13883.101016676592,3,2,,,False
Wet,"2011,2017,2019,2023",December,12,32,MERRA2_i258_j114,39.0,-108.75,0.33676528254645943,False,-47.8509346150171,-48.366914464015295,4,3,-31.414396632314983,7.087655056907936e-05,True
Wet,"2011,2017,2019,2023",December,12,33,MERRA2_i258_j115,39.0,-108.125,0.3947283514455035,False,-1.2599042722085776,5.253541483291555,4,3,0.1612503274595985,0.8821436661307244,False
Wet,"2011,2017,2019,2023",December,12,34,MERRA2_i258_j116,39.0,-107.5,0.7152961181815719,False,-11.516050927978602,-13.178225380752487,4,3,-0.8851600407512603,0.44126207255483113,False
Wet,"2011,2017,2019,2023",December,12,35,MERRA2_i258_j117,39.0,-106.875,0.8930556072117638,False,8.851000876193966,9.040658485156456,4,3,9.729835088608521,0.0023061161678139736,True
Wet,"2011,2017,2019,2023",December,12,36,MERRA2_i258_j118,39.0,-106.25,0.6623266566450648,False,11.564618868903963,11.369337378024781,4,3,1.5656389574588898,0.21540578564442997,False
Wet,"2011,2017,2019,2023",December,12,37,MERRA2_i258_j119,39.0,-105.625,0.2549885451247811,False,-31.19414368424621,-4.383683388414172,4,3,-0.1514146295872108,0.8892575222305654,False
