month,month_number,slot,cell_id,merra_latitude,merra_longitude,cell_mean_elevation_m,n_water_years,degrees_of_freedom,mean_bias_pp,t_statistic,two_sided_p_value,benjamini_hochberg_two_sided_q_value,raw_two_sided_p_lt_0_05,bh_two_sided_q_lt_0_05,water_years,alternative
December,12,12,MERRA2_i255_j118,37.5,-106.25,2650.444743771183,14,13,-11.855341748452132,-2.398696913460722,0.032163365040545525,0.05034265832433212,True,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,13,MERRA2_i255_j119,37.5,-105.625,2479.4527521812706,14,13,-16.894714683460002,-3.1538820507886207,0.007614513795759702,0.015664142665562816,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,14,MERRA2_i255_j120,37.5,-105.0,2478.100111711585,14,13,-23.34058694387512,-5.944194420022811,4.870111270875819e-05,0.0003187709195482354,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,15,MERRA2_i255_j121,37.5,-104.375,1791.3043617704584,14,13,-9.415042257406478,-2.0348682052514815,0.0627849133945319,0.08693295700781342,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,16,MERRA2_i256_j114,38.0,-108.75,2054.111282038443,14,13,-10.036776844764601,-2.0726149779375107,0.05865170143287913,0.08280240202288819,False,False,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,17,MERRA2_i256_j115,38.0,-108.125,2707.096060061232,14,13,-17.875029835868457,-3.5839994428311077,0.003332312670874795,0.008273328010447766,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,18,MERRA2_i256_j116,38.0,-107.5,3291.8061166794255,14,13,-13.144184125239267,-2.591510634574714,0.022363229593401805,0.03722735095905045,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,19,MERRA2_i256_j117,38.0,-106.875,3217.4978107489546,14,13,-17.8777752146873,-3.1078870770661533,0.008319498034739078,0.01583178890954859,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,20,MERRA2_i256_j118,38.0,-106.25,2649.126684523041,14,13,-15.80118097855044,-2.8841856523526013,0.012790266499385647,0.023612799691173504,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
December,12,21,MERRA2_i256_j119,38.0,-105.625,2662.4914559781278,14,13,-28.472866921004762,-4.9481342253147185,0.00026631711205063257,0.0010652684482025303,True,True,WY2010-WY2023,mean MERRA2_minus_MODSCAG bias != 0
